arm,seed,update,env_steps,mean_return,goal_rate,cum_collisions,n_episodes
shielded,1,94,389120,12.155681800429793,0.030303030303030304,0,33
shielded,1,95,393216,10.097712049636296,0.0,0,27
shielded,1,96,397312,8.890185753111854,0.0,0,25
shielded,2,0,4096,3.177667050587555,0.0,0,20
shielded,2,1,8192,4.533143372369472,0.0,0,22
shielded,2,2,12288,6.67426533111807,0.0,0,20
shielded,2,3,16384,7.178415570074102,0.0,0,24
shielded,2,4,20480,6.131603253934738,0.0,0,23
shielded,2,5,24576,7.496746333892104,0.0,0,27
shielded,2,6,28672,7.612074472640598,0.0,0,29
shielded,2,7,32768,7.985830352604853,0.041666666666666664,0,24
shielded,2,8,36864,5.524801139616883,0.0,0,24
shielded,2,9,40960,8.076733434517232,0.0,0,25
shielded,2,10,45056,8.088945784458202,0.0,0,27
shielded,2,11,49152,8.14366482258794,0.0,0,21
shielded,2,12,53248,7.447711969919297,0.0,0,24
shielded,2,13,57344,9.824291108141882,0.0,0,22
shielded,2,14,61440,9.35985875553426,0.0,0,24
shielded,2,15,65536,9.617280192950222,0.0,0,25
shielded,2,16,69632,7.989359159252851,0.0,0,23
shielded,2,17,73728,8.42255943960434,0.0,0,23
shielded,2,18,77824,7.032140892667092,0.0,0,22
shielded,2,19,81920,10.170713943862394,0.0,0,22
shielded,2,20,86016,10.334932501126296,0.09090909090909091,0,22
shielded,2,21,90112,10.043248676833018,0.0,0,22
shielded,2,22,94208,9.93877530448337,0.0,0,24
shielded,2,23,98304,13.963540196406859,0.08,0,25
shielded,2,24,102400,7.892890098861334,0.0,0,24
shielded,2,25,106496,11.297388321835532,0.041666666666666664,0,24
shielded,2,26,110592,7.632677211583073,0.0,0,25
shielded,2,27,114688,9.86414619873062,0.0,0,27
shielded,2,28,118784,8.712278741408317,0.0,0,25
shielded,2,29,122880,10.87403293958937,0.0,0,24
shielded,2,30,126976,5.655075317842342,0.0,0,22
shielded,2,31,131072,10.640550694398796,0.045454545454545456,0,22
shielded,2,32,135168,10.35486053180733,0.0,0,23
shielded,2,33,139264,7.866815536956747,0.0,0,21
shielded,2,34,143360,8.607910048235809,0.0,0,24
shielded,2,35,147456,10.719791446534883,0.041666666666666664,0,24
shielded,2,36,151552,9.107389404241864,0.045454545454545456,0,22
shielded,2,37,155648,11.102382109276954,0.0,0,25
shielded,2,38,159744,10.82032467491355,0.03571428571428571,0,28
shielded,2,39,163840,7.161603671996406,0.0,0,24
shielded,2,40,167936,13.59678625166742,0.08695652173913043,0,23
shielded,2,41,172032,9.42241043332029,0.0,0,25
shielded,2,42,176128,9.591682663685365,0.03571428571428571,0,28
shielded,2,43,180224,7.3004513649817975,0.0,0,22
shielded,2,44,184320,8.404513643413614,0.0,0,26
shielded,2,45,188416,14.25644661143286,0.07692307692307693,0,26
shielded,2,46,192512,8.95279611975211,0.0,0,23
shielded,2,47,196608,10.03572002144464,0.0,0,25
shielded,2,48,200704,10.335972602769344,0.0,0,22
shielded,2,49,204800,13.86966361134123,0.08333333333333333,0,24
shielded,2,50,208896,10.285593727769779,0.037037037037037035,0,27
shielded,2,51,212992,12.50086880845427,0.07142857142857142,0,28
shielded,2,52,217088,9.069900121738366,0.04,0,25
shielded,2,53,221184,8.069638403504307,0.0,0,21
shielded,2,54,225280,5.588245192516431,0.0,0,22
shielded,2,55,229376,12.36530137121977,0.03571428571428571,0,28
shielded,2,56,233472,10.226826371610333,0.0,0,29
shielded,2,57,237568,7.640406466652625,0.0,0,25
shielded,2,58,241664,8.033736417424063,0.0,0,24
shielded,2,59,245760,10.635440337296822,0.038461538461538464,0,26
shielded,2,60,249856,10.099938072064102,0.038461538461538464,0,26
shielded,2,61,253952,10.799944635956756,0.0,0,23
shielded,2,62,258048,10.346785372051203,0.0,0,24
